metric,model1,model2,model1_mean,model1_ci_lower,model1_ci_upper,model1_n,model2_mean,model2_ci_lower,model2_ci_upper,model2_n,mean_difference,mann_whitney_u,p_value_raw,cohens_d,cliffs_delta,cohens_d_interpretation,cliffs_delta_interpretation,p_value_corrected,significant_raw,significant_corrected,fdr_rejected
semantic_accuracy,ChatGPT_4o,GPT_o1,0.072576,0.022255876595952052,0.12289612340404796,4,0.058820250000000004,0.04282603095727695,0.07481446904272306,4,0.013755749999999997,11.5,0.38363032713198975,0.5862588874033388,0.4375,medium,medium,0.7672606542639795,False,False,False
semantic_accuracy,ChatGPT_4o,GPT_o1_Pro,0.072576,0.022255876595952052,0.12289612340404796,4,0.053297,0.03534178065422053,0.07125221934577947,4,0.019279000000000004,12.0,0.34285714285714286,0.8120171609324279,0.5,large,large,0.7384615384615384,False,False,False
semantic_accuracy,ChatGPT_4o,Claude_3_5_Sonnet,0.072576,0.022255876595952052,0.12289612340404796,4,0.09195425,0.021863890644903003,0.162044609355097,4,-0.01937825,6.0,0.6857142857142857,-0.5053996105188011,-0.25,medium,small,0.8727272727272728,False,False,False
semantic_accuracy,ChatGPT_4o,Gemini_2_0_Flash,0.072576,0.022255876595952052,0.12289612340404796,4,0.1046985,0.04481524889426585,0.16458175110573414,4,-0.0321225,4.0,0.34285714285714286,-0.9241585370201004,-0.5,large,large,0.7384615384615384,False,False,False
semantic_accuracy,ChatGPT_4o,Mistral_Large_2,0.072576,0.022255876595952052,0.12289612340404796,4,0.080582,0.03681932494503655,0.12434467505496345,4,-0.008006,6.0,0.6857142857142857,-0.2701556883794343,-0.25,small,small,0.8727272727272728,False,False,False
semantic_accuracy,ChatGPT_4o,Llama_3_1_405B,0.072576,0.022255876595952052,0.12289612340404796,4,0.08687824999999999,0.03528082610676433,0.13847567389323565,4,-0.014302249999999989,5.0,0.4857142857142857,-0.4465626354707394,-0.375,small,medium,0.8,False,False,False
semantic_accuracy,ChatGPT_4o,DeepSeek_DeepThink_R1,0.072576,0.022255876595952052,0.12289612340404796,4,0.07695275,0.03297686441688217,0.12092863558311784,4,-0.004376749999999999,8.0,1.0,-0.14738008149232593,0.0,negligible,negligible,1.0,False,False,False
semantic_accuracy,GPT_o1,GPT_o1_Pro,0.058820250000000004,0.04282603095727695,0.07481446904272306,4,0.053297,0.03534178065422053,0.07125221934577947,4,0.005523250000000007,10.0,0.6857142857142857,0.5168920917546748,0.25,medium,small,0.8727272727272728,False,False,False
semantic_accuracy,GPT_o1,Claude_3_5_Sonnet,0.058820250000000004,0.04282603095727695,0.07481446904272306,4,0.09195425,0.021863890644903003,0.162044609355097,4,-0.033134,4.0,0.34285714285714286,-1.0371433983544895,-0.5,large,large,0.7384615384615384,False,False,False
semantic_accuracy,GPT_o1,Gemini_2_0_Flash,0.058820250000000004,0.04282603095727695,0.07481446904272306,4,0.1046985,0.04481524889426585,0.16458175110573414,4,-0.045878249999999995,0.0,0.02857142857142857,-1.6656528477307102,-1.0,large,large,0.4,True,False,False
